fractal_left,reward_right,fractal_right,prob_left,trial,reward_left,prob_right,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,reward,response.rt,date,frameRate,expName,session,participant,
fig/6.jpg,1,fig/17.jpg,0.603,36,1,0.45,0,35,35,35,left,1,0.31840801239,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.583,37,1,0.442,0,36,36,36,left,1,0.218136072159,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.558,38,1,0.454,0,37,37,37,left,1,0.23601603508,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.624,39,1,0.472,0,38,38,38,left,1,0.449404001236,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.597,40,1,0.448,0,39,39,39,left,1,0.402630090714,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.6,41,1,0.412,0,40,40,40,left,1,0.369266986847,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.58,42,1,0.396,0,41,41,41,left,0,0.0685181617737,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.621,43,1,0.406,0,42,42,42,left,1,0.319290876389,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.542,44,1,0.357,0,43,43,43,left,1,0.485601902008,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.611,45,1,0.363,0,44,44,44,left,1,0.385231971741,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.595,46,1,0.356,0,45,45,45,left,1,0.4689848423,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.613,47,1,0.336,0,46,46,46,left,0,0.334610939026,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.61,48,1,0.338,0,47,47,47,left,1,0.285877227783,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.636,49,1,0.345,0,48,48,48,left,0,0.435385942459,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.638,50,1,0.322,0,49,49,49,left,1,0.386090993881,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.646,51,1,0.351,0,50,50,50,left,1,0.385010957718,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.67,52,1,0.401,0,51,51,51,left,1,0.602070093155,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.634,53,1,0.413,0,52,52,52,left,1,0.30170083046,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.628,54,1,0.424,0,53,53,53,left,1,0.250849962234,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.662,55,1,0.409,0,54,54,54,left,0,0.335499048233,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.71,56,1,0.396,0,55,55,55,left,1,0.0850880146027,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.729,57,1,0.437,0,56,56,56,left,1,0.484663009644,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.732,58,1,0.423,0,57,57,57,left,1,0.451972007751,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
