fractal_left,reward_right,fractal_right,prob_left,trial,reward_left,prob_right,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,reward,response.rt,date,frameRate,expName,session,participant,
fig/19.jpg,1,fig/5.jpg,0.629,1,1,0.594,0,0,0,0,right,0,0.36695597315,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
fig/19.jpg,1,fig/5.jpg,0.588,2,1,0.617,0,1,1,1,right,0,0.448146554409,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
fig/19.jpg,1,fig/5.jpg,0.561,3,1,0.62,0,2,2,2,left,1,0.550450187642,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
fig/19.jpg,1,fig/5.jpg,0.516,4,1,0.63,0,3,3,3,right,0,0.467130286386,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
fig/19.jpg,1,fig/5.jpg,0.506,5,1,0.589,0,4,4,4,left,1,0.415578789223,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
fig/19.jpg,1,fig/5.jpg,0.493,6,1,0.576,0,5,5,5,right,0,1.61452671041,2017_Jul_16_0241,60.6251340331,2_armed_bandit_experiment,01,a,
